procedure_key,procedure,ours_ms,baseline_ms,reported_speedup,phase
crs,Generate CRS,28.5,251.9,8.8,setup
keygen,Generate key pair,7.0,104.5,15.0,setup
share,Encode input share,2.6,10.3,4.0,encoding
init_a,Init RMS Alice,4.4,96.4,22.0,evaluation
init_b,Init RMS Bob,3.1,50.3,16.0,evaluation
sync_sender,Sync sender share,1.3,5.2,4.0,evaluation
sync_receiver,Sync received share,1.8,61.8,35.0,evaluation
multiply,Multiply memory and input,5.0,224.6,45.0,evaluation
convert,Convert input to memory,4.2,167.8,40.0,evaluation

